people,pr_num,review_num,avg_review_num,avg_review_comment_length,avg_review_response_time,approve_rate,score_if,anomaly_if,score_ocsvm,anomaly_ocsvm,score_lof,anomaly_lof,vote
nkonev,1,1,1.0,81.0,172386.81666666668,0.0,0.064411139445179,1,-4.781394703139533,1,-3.5833739604751087,1,1
philwebb,1,5,5.0,116.4,8370.8,0.0,0.0780263472312969,1,-2.242577824868871,1,-1.5604038660146753,1,1
poutsma,1,4,4.0,131.0,9001.833333333334,0.0,0.1156332015899506,1,-0.0002803202201171,1,-1.3687324210306475,1,1
qiangmao,1,1,1.0,6.0,1931.6166666666663,0.0,0.1650055711105931,1,-0.10501958434285,1,-0.994630314261022,1,1
quaff,1,1,1.0,94.0,711.8166666666667,0.0,0.1796629754120541,1,0.2596281583809965,1,-1.0007385648178535,1,1
rkvigneswaran,1,6,6.0,339.0,2990.9166666666665,0.0,0.0163125308920271,1,-5.427015757170967,1,-1.862797558162709,1,1
rod2j,1,1,1.0,101.0,520.15,0.0,0.1797793927200857,1,0.2747633861459224,1,-1.0029436201355106,1,1
rstoyanchev,4,11,2.75,112.54545454545456,36321.8625,0.1111111111111111,-0.0562181667436094,1,-5.1081233465311016e-08,1,-1.3219996195600223,1,1
sbrannen,23,88,3.8260869565217392,167.8068181818182,9968.986231884057,0.0897435897435897,-0.2808679778922112,-1,-13.359348753370432,-1,-4.9418237173815305,1,-1
sdeleuze,1,3,3.0,263.0,287916.26666666666,1.0,-0.1524093620134178,-1,-13.254418784927518,-1,-3.990728863848793,1,-1
serjnarbut,1,1,1.0,18.0,2774.133333333333,0.0,0.1659626923243061,1,-0.018228957329768,1,-0.9809444361164396,1,1
simonbasle,2,2,1.0,217.5,1553.3416666666667,0.0,0.1112153067332709,1,0.4499609007825835,1,-1.048704288404683,1,1
snicoll,10,14,1.4,125.28571428571428,16923.001666666667,0.1176470588235294,-0.1006879140302193,-1,-6.129916077139653,1,-3.7518828346680015,1,1
sp00m,1,1,1.0,176.0,2909.7166666666667,0.0,0.1704139320794115,1,0.4266881613454565,1,-0.9939054377073034,1,1
wilkinsona,1,1,1.0,188.0,128.33333333333334,0.0,0.1750313059807615,1,0.3621014652949412,1,-0.9901350746243032,1,1
wyhasany,2,2,1.0,29.5,11256.25,0.0,0.1005213710299118,1,0.2789715062580242,1,-1.0148003309718792,1,1
xixingya,2,3,1.5,160.33333333333334,976.175,0.0,0.1175873280495845,1,1.3940558159464853,1,-1.131406801621168,1,1
yaboong,1,1,1.0,472.0,5712.95,0.0,0.1254204272046654,1,-0.9703059577214984,1,-1.7489574523039813,1,1
yuhangbin,1,4,4.0,29.0,1293.4,0.0,0.1130576550600234,1,-0.45694676134692,1,-1.3635328755625002,1,1
