people,commit_num,total_line_addition,total_line_deletion,total_file_edit_num,total_file_edit_type,sensitive_line_addition,sensitive_line_deletion,sensitive_file_edit_num,merge_rate,commit_interval,score_if,anomaly_if,score_ocsvm,anomaly_ocsvm,score_lof,anomaly_lof,vote
mustela,1,2,1,1,1,0,0,0,0.0,0.0,0.1691474327091866,1,-0.0570655444057379,1,-0.9966120316223404,1,1
mveytsman,10,2426,699,32,22,177,639,7,1.0,48143.17962962962,-0.1250808917831989,-1,-5.152949333072357,1,-6.253371850564383,1,1
nathanl,2,2,1,2,2,0,0,0,1.0,334.5,0.1914571844937098,1,0.0742227355169973,1,-1.1782908373656418,1,1
naveensrinivasan,1,3,0,1,1,3,0,1,1.0,0.0,0.1277319161392329,1,-0.0378945067612477,1,-1345.4610386128302,1,1
nelsonmestevao,1,3,2,2,1,0,0,0,0.0,0.0,0.1644473389585717,1,-0.0505581460648301,1,-5.537598757988785,1,1
netProphET,2,12,4,2,2,0,0,0,1.0,420.1,0.1914571844937098,1,0.0763806353901941,1,-1.1789813750378657,1,1
nferrari,1,2,1,1,1,0,0,0,0.0,0.0,0.1691474327091866,1,-0.0570655444057379,1,-0.9966120316223404,1,1
ntodd,1,4,1,1,1,0,0,0,1.0,0.0,0.1967764109543482,1,3.288744819940348e-05,1,-1.3496574073545526,1,1
octosteve,1,1,1,1,1,0,0,0,1.0,0.0,0.1967764109543482,1,1.1817233769306769e-07,1,-1.0,1,1
odjhey,1,1,1,1,1,0,0,0,1.0,0.0,0.1967764109543482,1,1.1817233769306769e-07,1,-1.0,1,1
onixus74,1,1,1,1,1,0,0,0,1.0,0.0,0.1967764109543482,1,1.1817233769306769e-07,1,-1.0,1,1
optikfluffel,2,14,14,8,4,0,0,0,1.0,106768.58333333331,0.1301897895113401,1,-3.52645570641306,1,-6.641194265060952,1,1
oskarkook,1,5,5,1,1,0,0,0,1.0,0.0,0.1941885289815033,1,5.682493528524901e-05,1,-1.2843127054349448,1,1
padmaJS,1,1,1,1,1,0,0,0,1.0,0.0,0.1967764109543482,1,1.1817233769306769e-07,1,-1.0,1,1
paridin,2,14,15,2,2,0,0,0,1.0,4615.383333333333,0.1871106788193545,1,0.1663907139648017,1,-1.356752105912733,1,1
patreeceeo,2,19,6,2,2,0,0,0,1.0,322.25,0.1914571844937098,1,0.0741283359523734,1,-1.1782682263184676,1,1
paulo-silva,8,122,120,19,11,0,0,0,0.0,804.9095238095239,0.0911039878129084,1,-0.3769822374813003,1,-10.612009849632525,1,1
petemcfarlane,1,3,3,1,1,0,0,0,1.0,0.0,0.1960873970348691,1,2.8622056426286235e-05,1,-1.1229745659286028,1,1
petermm,1,3,2,1,1,0,0,0,1.0,0.0,0.1964818603706646,1,2.5330857333472068e-05,1,-1.1722859111081427,1,1
petermueller,1,6,0,1,1,0,0,0,0.0,0.0,0.1681586914655196,1,-0.0570351430646596,1,-1.0063732764762707,1,1
petrus-jvrensburg,3,13,13,6,5,0,0,0,1.0,1157.1916666666668,0.1775712176858733,1,0.1691979359948519,1,-1.877407749360924,1,1
phaleth,2,10,10,2,2,0,0,0,1.0,7385.8,0.1882338024397699,1,0.2149689127882226,1,-1.7152205779458154,1,1
